time	V(V_Tout,Vcm)	V(V_tin,Vcm)
1.906168016343886e-03	3.257953e-01	1.315418e-01
1.906325652608733e-03	3.266184e-01	1.381094e-01
1.906515008845358e-03	3.277521e-01	1.484546e-01
1.906694417807124e-03	3.289555e-01	1.574745e-01
1.906897526847930e-03	3.309931e-01	1.641345e-01
1.907082989698216e-03	3.331530e-01	1.634517e-01
1.907364940338715e-03	3.377914e-01	1.533385e-01
1.907534083015972e-03	3.421574e-01	1.455372e-01
1.907659755791824e-03	3.452556e-01	1.391036e-01
1.907784120595745e-03	3.481625e-01	1.339702e-01
1.907949219695127e-03	3.518893e-01	1.299408e-01
1.908099731636603e-03	3.548606e-01	1.271452e-01
1.908226012254607e-03	3.569869e-01	1.230294e-01
1.908362501124842e-03	3.590776e-01	1.160716e-01
1.908524150375531e-03	3.616801e-01	1.069951e-01
1.908740012427951e-03	3.648449e-01	9.611167e-02
1.908903020950634e-03	3.666136e-01	9.137307e-02
1.909071971302105e-03	3.676641e-01	9.359166e-02
1.909215239956409e-03	3.676943e-01	1.034758e-01
1.909338095190612e-03	3.672117e-01	1.180460e-01
1.909455622345201e-03	3.664812e-01	1.351211e-01
1.909574743688219e-03	3.657372e-01	1.532899e-01
1.909687393060718e-03	3.653297e-01	1.694582e-01
1.909801155239815e-03	3.654754e-01	1.834097e-01
1.909882439824139e-03	3.658092e-01	1.904599e-01
1.909974625399063e-03	3.663551e-01	1.945075e-01
1.910053180417064e-03	3.670473e-01	1.950991e-01
1.910136312598281e-03	3.678233e-01	1.931863e-01
1.910302576960717e-03	3.699956e-01	1.861734e-01
1.910514261494011e-03	3.734718e-01	1.747412e-01
1.910677691470058e-03	3.775586e-01	1.666656e-01
1.910809673503891e-03	3.810586e-01	1.615361e-01
1.910941976363595e-03	3.844516e-01	1.584164e-01
1.911066374226114e-03	3.874177e-01	1.560999e-01
1.911143177886567e-03	3.891427e-01	1.532166e-01
1.911230568984040e-03	3.910789e-01	1.475828e-01
1.911319273012205e-03	3.929086e-01	1.399198e-01
1.911460611630003e-03	3.957377e-01	1.257618e-01
1.911596064966023e-03	3.983114e-01	1.123772e-01
1.911808699584337e-03	4.022894e-01	9.673982e-02
1.912019502820227e-03	4.068115e-01	9.179003e-02
1.912194148713051e-03	4.079424e-01	9.348893e-02
1.912358548021480e-03	4.068518e-01	9.769581e-02
1.912483202889376e-03	4.053029e-01	1.017581e-01
1.912621611159614e-03	4.035862e-01	1.068748e-01
1.912744500243457e-03	4.023221e-01	1.113188e-01
1.912859416386244e-03	4.013274e-01	1.145885e-01
1.912988961356568e-03	4.003371e-01	1.172273e-01
1.913065877522726e-03	3.998201e-01	1.193726e-01
1.913128101271793e-03	3.993091e-01	1.227107e-01
1.913201112060333e-03	3.987381e-01	1.289893e-01
1.913284735927522e-03	3.980890e-01	1.383521e-01
1.913374007894549e-03	3.974395e-01	1.502396e-01
1.913494419330691e-03	3.965512e-01	1.675746e-01
1.913632209032385e-03	3.957427e-01	1.871768e-01
1.913738716804750e-03	3.956113e-01	2.007138e-01
1.913846646766163e-03	3.959104e-01	2.115726e-01
1.913915355732754e-03	3.962974e-01	2.159815e-01
1.914001631617293e-03	3.968879e-01	2.170018e-01
1.914174183386369e-03	3.986196e-01	2.094398e-01
1.914416103123092e-03	4.019996e-01	1.885480e-01
1.914574069308483e-03	4.066463e-01	1.735662e-01
1.914693226462742e-03	4.102020e-01	1.624023e-01
1.914812481580135e-03	4.135107e-01	1.534711e-01
1.914936874345824e-03	4.168629e-01	1.483161e-01
1.915061128438321e-03	4.200413e-01	1.479793e-01
1.915196446176188e-03	4.231101e-01	1.516258e-01
1.915322329529439e-03	4.256988e-01	1.574423e-01
1.915464614061549e-03	4.283346e-01	1.655019e-01
1.915594366718309e-03	4.304394e-01	1.729766e-01
1.915724993565063e-03	4.324876e-01	1.797336e-01
1.915852439381361e-03	4.344297e-01	1.845485e-01
1.915971401037336e-03	4.363347e-01	1.865555e-01
1.916070367013860e-03	4.380151e-01	1.849940e-01
1.916159186994897e-03	4.395527e-01	1.798102e-01
1.916249532984953e-03	4.411215e-01	1.710136e-01
1.916346418807571e-03	4.428959e-01	1.589460e-01
1.916444890939194e-03	4.446297e-01	1.449060e-01
1.916572714966266e-03	4.467976e-01	1.262583e-01
1.916723775544460e-03	4.497093e-01	1.078487e-01
1.916912462805255e-03	4.534410e-01	9.454190e-02
1.917084997226331e-03	4.545810e-01	9.076118e-02
1.917183322637739e-03	4.543846e-01	9.230664e-02
1.917293795538152e-03	4.540869e-01	9.664145e-02
1.917396922480502e-03	4.531407e-01	1.013339e-01
1.917501192041112e-03	4.515642e-01	1.062809e-01
1.917651265096617e-03	4.492317e-01	1.135478e-01
1.917780839721004e-03	4.475281e-01	1.191966e-01
1.917926938014468e-03	4.454448e-01	1.232210e-01
1.918065219094164e-03	4.437958e-01	1.255746e-01
1.918143016409292e-03	4.428911e-01	1.269413e-01
1.918225098178435e-03	4.418101e-01	1.289013e-01
1.918315936829551e-03	4.406571e-01	1.316990e-01
1.918443041469101e-03	4.390840e-01	1.361749e-01
1.918570622727362e-03	4.375626e-01	1.406707e-01
1.918771685707157e-03	4.353220e-01	1.463041e-01
1.918992734498289e-03	4.334138e-01	1.485040e-01
1.919155900719577e-03	4.322735e-01	1.435679e-01
1.919358563751106e-03	4.316376e-01	1.292033e-01
1.919502921509040e-03	4.316988e-01	1.160689e-01
1.919654806490539e-03	4.316627e-01	1.019232e-01
1.919798628077390e-03	4.314931e-01	9.147586e-02
1.919956806665739e-03	4.307583e-01	8.609931e-02
1.920121443446557e-03	4.293768e-01	8.926000e-02
1.920301313243574e-03	4.267863e-01	1.010404e-01
1.920449483704129e-03	4.237735e-01	1.145947e-01
1.920568957985113e-03	4.213191e-01	1.267886e-01
1.920689245082414e-03	4.189854e-01	1.383048e-01
1.920819818521839e-03	4.167487e-01	1.482620e-01
1.920938672578556e-03	4.149759e-01	1.536599e-01
1.921087170512884e-03	4.136013e-01	1.583464e-01
1.921217320186317e-03	4.132815e-01	1.651917e-01
1.921360874202572e-03	4.133888e-01	1.766153e-01
1.921521852411924e-03	4.133966e-01	1.910481e-01
1.921640349894816e-03	4.135493e-01	2.013851e-01
1.921762345181925e-03	4.143400e-01	2.101665e-01
1.921945272361044e-03	4.167253e-01	2.179110e-01
1.922212773743660e-03	4.205313e-01	2.213196e-01
1.922402946437635e-03	4.253206e-01	2.237430e-01
1.922653491608831e-03	4.333642e-01	2.275054e-01
1.922911319804716e-03	4.427360e-01	2.295119e-01
1.923112245601502e-03	4.505837e-01	2.259268e-01
1.923255889410351e-03	4.563750e-01	2.167983e-01
1.923402773695018e-03	4.626046e-01	2.021249e-01
1.923522506051753e-03	4.677267e-01	1.885615e-01
1.923663339575081e-03	4.734274e-01	1.733781e-01
1.923839668351550e-03	4.802011e-01	1.599694e-01
1.924030886920274e-03	4.866280e-01	1.534359e-01
1.924228767680540e-03	4.916869e-01	1.507959e-01
1.924401683379245e-03	4.950331e-01	1.484553e-01
1.924598805056498e-03	4.981117e-01	1.456353e-01
1.924869325150594e-03	5.032414e-01	1.452106e-01
1.925068818502990e-03	5.049663e-01	1.479964e-01
1.925237851254521e-03	5.041721e-01	1.559786e-01
1.925411483301753e-03	5.025265e-01	1.704559e-01
1.925529157625366e-03	5.016840e-01	1.826450e-01
1.925637392533313e-03	5.012974e-01	1.941571e-01
1.925756691629665e-03	5.012419e-01	2.053660e-01
1.925869245318209e-03	5.011147e-01	2.117534e-01
1.926088674400069e-03	5.022230e-01	2.169148e-01
1.926251840523457e-03	5.044750e-01	2.189610e-01
1.926418946355970e-03	5.069608e-01	2.199648e-01
1.926602936268723e-03	5.097740e-01	2.205320e-01
1.926861085792896e-03	5.143575e-01	2.209803e-01
1.927252283487400e-03	5.241619e-01	2.236944e-01
1.927634498748360e-03	5.346272e-01	2.270420e-01
1.927913065277528e-03	5.422193e-01	2.282901e-01
1.928081589685025e-03	5.469284e-01	2.262146e-01
1.928186874631476e-03	5.498853e-01	2.211493e-01
1.928289523530076e-03	5.527260e-01	2.125136e-01
1.928400271370762e-03	5.557300e-01	2.008268e-01
1.928531084306423e-03	5.591385e-01	1.859273e-01
1.928695382321915e-03	5.632519e-01	1.691364e-01
1.928886756089804e-03	5.676895e-01	1.568581e-01
1.929108298713833e-03	5.715449e-01	1.512201e-01
